group,segment,source_status,target_output_prefix,notes
00,Opening / CDE session positioning,draft needed,cde_full_00_opening,"Use final PPT slides 1-5 for pacing; convert into spoken prose"
01,Jason hospital reality,draft needed,cde_full_01_hospital_reality,"Use final PPT slides 6-13 for pacing; clinical continuity and patient safety"
02,Jason FDA / TFDA lifecycle logic,draft needed,cde_full_02_regulatory_lifecycle,"Use final PPT slides 14-20 for pacing; no legal wall-reading"
03,Jason attack surface paths,draft needed,cde_full_03_attack_surface,"Use final PPT slides 21-30 for pacing; conceptual attack paths only"
04,Jason testing / finding / threat-model handoff,draft needed,cde_full_04_testing_handoff,"Use final PPT slides 31-34 for pacing; bridge into white-box"
05,Handoff to 靖中,draft needed,cde_full_05_handoff,"Use final PPT transition point for pacing; short bridge from external testing to internal evidence"
06,靖中 white-box scope,source available,cde_full_06_whitebox_scope,"Align Jingzhong clean text to final PPT slide order and timing"
07,靖中 device / FDA evidence examples,source available,cde_full_07_device_evidence,"Align Jingzhong clean text to final PPT slide order and timing"
08,靖中 deployment / K8S / Change Healthcare,source available,cde_full_08_deployment_k8s,"Align Jingzhong clean text to final PPT slide order and timing"
09,靖中 traceability / testing / 524B,source available,cde_full_09_traceability_testing,"Align Jingzhong clean text to final PPT slide order and timing"
10,靖中 remediation / SBOM / vulnerability response,source available,cde_full_10_remediation_sbom,"Align Jingzhong clean text to final PPT slide order and timing"
11,靖中 logging / recovery / close,source available,cde_full_11_operational_close,"Align Jingzhong clean text to final PPT slide order and timing"
12,Shared final close and test-question bridge,draft needed,cde_full_12_shared_close,"Use final PPT close for pacing; tie lifecycle trust to test questions"
