group,segment,output_prefix,text,notes
00,Opening positioning / CrazyHunter entry case,cde_full_01_opening_positioning_crazyhunter_entry_case,各位好，今天這場 CDE 課程的題目是：臨床端對醫療器材與資訊系統之資安要求。這個題目看起來像法規，也像資安技術課。實際上，我們今天要處理的是醫療現場最基本的一個問題：當醫療器材、AI 系統、PACS、HIS、EMR、雲端服務與廠商維護通道全部連在一起時，醫院要怎麼判斷這個系統可以被信任。今天不會把資安講成恐嚇故事，也不會把法規逐條朗讀。我們會用臨床 workflow 來看風險，用產品生命週期來看證據，用醫院部署現實來看責任分工。 這一場和前兩場的角色不同。前兩場偏向驗證單位與醫材業者，看的是驗證要求、設計驗證經驗與常見缺失。今天的視角會移到臨床端，也就是系統進到醫院以後會遇到的情境。醫院會問：這個系統接到哪裡？誰可以登入？資料怎麼流？廠商如何維護？弱點誰負責？修補多久？修完怎麼證明？事件後如何調查與恢復？所以今天的主軸很清楚：法規是起點，真正的挑戰是醫療資安如何在醫院端落地。 這場課程會從醫療系統的角度談資安，不會只停在工具名稱或條文文字。投影片前幾頁提到醫療 AI、SaMD、DICOM workflow、臨床驗證、TFDA 醫療器材許可與 FDA 510(k) 證據。這些經驗要表達的不是產品展示，而是經驗來源。醫療 AI 系統從研究到臨床使用，中間要通過影像資料、使用者角色、臨床驗證、醫院資訊系統、法規文件、上市後維護與資安治理。當我們談 cybersecurity requirements，這些環節會全部回到同一條 evidence chain。 以醫療影像 AI 來說，系統不是模型準確率高就可以直接放進醫院。它要能接影像設備、PACS 或 AI PACS、DICOM router、HIS 或 RIS、報告流程、醫師 viewer 與院內通知。它也要支援版本管理、權限控管、日誌稽核、異常處理、效能追蹤與臨床導入。這些看似工程或營運細節，實際上都是資安邊界。只要帳號、資料流、設定、更新或整合介面沒有被治理，臨床端就很難信任系統長期運作。這也是今天從 clinical cybersecurity in practice 出發的原因。 我們先用台灣近期的勒索軟體案例進入。投影片提到 CrazyHunter campaign 影響了多家醫療機構，也促成醫院勒索軟體應變流程被更明確地討論。這類案例重要的地方，不在於攻擊者用了什麼特殊技巧，而在於醫療服務一旦中斷，影響會很快從資訊系統轉成臨床營運壓力。掛號、檢查、影像、報告、病歷查詢、轉診、用藥與收費，每一個環節都可能被迫改用降級流程。醫院不是普通企業 IT。醫院停止服務時，代價會直接出現在照護流程裡。,slides 1-3; slides 1-4; session positioning; slides 2-3; slides 5-7; product visuals converted to deployment lesson; slide 4; first case
00,Story map / Clinical incident chain,cde_full_02_story_map_clinical_incident_chain,今天的 story map 是一條 lifecycle。先看醫院現實：為什麼資安事件會影響 patient safety。再看 FDA 與 TFDA 的邏輯：為什麼醫療器材從單機設備變成 connected systems 之後，資安就變成產品生命週期責任。接著看 attack surface：風險不只在單一 device，也在帳號、網路、資料交換、廠商維護、更新機制與第三方元件。中段會釐清 testing vocabulary 與 finding anatomy。後半段進入 White-box Testing、system review、K8S、SBOM、remediation、logging 與 recovery。最後收斂到 lifecycle trust。 接著看一個基本轉變。Cybersecurity 已經不只是 IT 問題。傳統 IT 視角通常會想到 firewall、antivirus、perimeter defense，或是完成一份 compliance checklist。這些仍然重要，可是醫療現場的問題更複雜。醫療器材與資訊系統會連到院內網路、雲端服務、AI inference service、廠商遠端維護、使用者帳號與臨床資料流程。醫療資安的判斷必須問得更具體：系統支援哪個臨床流程？失效時影響哪個部門？資料延遲、被竄改或無法取得時，臨床人員怎麼辦？廠商如何更新？醫院如何驗證？事件後如何留下調查證據？ Change Healthcare 的事件，是一個很好的例子。它看起來是美國醫療支付與 claims 平台受到攻擊，實際影響一路延伸到 pharmacy payment、provider workflow，以及照護現場的營運能力。這提醒我們，醫療系統裡的關鍵服務不一定只在急診室裡。保險申報、藥局付款、檢查授權、供應鏈與行政流程，只要卡住，最後都可能增加臨床端壓力。資安事件會沿著 workflow 傳遞，從資訊系統開始，最後出現在候診時間、檢查排程、報告速度、醫師可用資訊與病人安全上。 投影片把 cyber incident 轉成 clinical incident 的路徑畫得很清楚：ransomware 進入網路，核心系統不可用，PACS down，影像檢查延遲，報告與診斷決策被拖慢，最後形成 patient safety risk。這條路徑不是為了誇大威脅，而是為了把技術語言翻成臨床語言。真正的問題不是檔案加密這個技術現象，而是照護流程被迫中斷。臨床端最在意的也不是攻擊者名稱，而是系統中斷時能否維持照護、能否安全降級、能否恢復可信狀態。,slides 4 and narrative map; slide 8; concept; slide 9; case; slide 10; clinical path
01,Chansn system of systems / Mackay and emergency operation,cde_full_03_chansn_system_of_systems_mackay_and_emerge,台灣醫院勒索軟體與病人資料外洩事件也指向同一件事：醫院是一個 system of systems。院內有 HIS、EMR、PACS、LIS、RIS、影像工作站、護理站、藥局系統、身分管理、網域服務、廠商 VPN、醫療設備、雲端服務與第三方介面。臨床使用者每天在這些系統之間移動，病人資料也在這些系統之間流動。只要其中一個連接點缺乏控管，風險就可能傳到別的系統。帳號被竊取可能導致資料外洩，PACS 停擺可能導致影像延遲，廠商維護路徑被濫用可能接觸到 device subnet。 大型醫療資料外洩案例則提醒我們，醫療資料不只包含姓名與身分證字號。它可能包含診斷、檢查、影像、檢驗、用藥、指紋或其他高度敏感資料。醫療資料外洩後，受影響者很難像更換密碼一樣把健康資訊換掉。臨床端因此會同時關心 confidentiality、integrity 與 availability。Confidentiality 保護病歷與影像不被未授權存取。Integrity 確保影像、報告與設定沒有被錯誤修改。Availability 則讓臨床系統在需要時可用。醫療資安的終點，是照護不中斷，也讓資料值得信任。 醫院裡常聽到一句話：那就 patch。這句話在一般企業環境可能合理，在醫院裡會變成治理問題。醫療設備可能正在支援病人照護，不能任意停機。更新可能需要製造商確認，也可能需要臨床功能驗證。HIS、PACS、DICOM gateway、醫療設備與 viewer 之間的相容性很脆弱。停機時間也不是 IT 部門自己決定，因為每一次 downtime 都可能影響病人流程。Patch 在醫院不是一個按鈕，而是一個包含風險判斷、驗證、排程、溝通、執行與重測的治理流程。 Mackay Memorial Hospital 這類勒索軟體事件會引起高度關注，原因就在這裡。當大量電腦受到影響，醫院需要的不只是資安工具，也需要 emergency-response operations。誰判斷影響範圍？哪些系統先隔離？哪些服務維持？哪些流程降級？醫療人員如何取得必要資訊？病人如何被告知？系統恢復後，如何確認資料完整、介面正常、報告可信？這些問題都不是單一技術團隊可以獨立回答。它們需要醫院資訊、臨床、廠商、品質、法規與管理層共同建立 decision path。,slides 11-12; hospital architecture; slide 13; data trust; slide 14; patch governance; slide 15; emergency response
01,Vendor access trust boundary / Regulation as lifecycle,cde_full_04_vendor_access_trust_boundary_regulation_as,廠商遠端維護是另一個高風險入口。Vendor laptop 透過 VPN 進入 hospital network，再接到 medical device subnet。這條路徑在日常維運上很必要，因為醫療設備可能需要遠端診斷、版本更新、校正與維修。問題在於這條受信任的路徑是否被治理。醫院會問：VPN 是否限制來源？維護帳號是否個人化？是否有 MFA？是否符合 least privilege？維護 session 是否有 log？廠商能進入哪個 subnet？維護完成後權限是否收回？發生事件時，醫院能不能知道哪個帳號在什麼時間做了什麼？可信任的 access path，需要嚴格治理。 OneBlood ransomware 的案例，讓我們看到另一種臨床連續性壓力。血液供應商受到攻擊時，影響不只停留在供應商內部。醫院可能需要保守使用血品，某些手術可能延後，臨床排程與資源配置也會受到影響。這類事件說明，醫院資安不能只看院內機房。醫療服務本來就依賴供應鏈、檢驗服務、血液供應、影像服務、保險與支付平台、醫材廠商與雲端平台。任何一個外部服務出問題，都可能成為院內臨床流程的限制。臨床端因此需要合約、通報、替代流程與恢復驗證。 接著進入法規邏輯。FDA cybersecurity requirements 之所以擴大，原因很直接：醫療器材已經從 standalone device 變成 connected systems。第一階段的醫療器材比較像 isolated hardware，可能沒有網路暴露，也沒有遠端更新。後來開始接到 hospital network，跟 HIS、PACS、EMR 交換資料。再往後，雲端服務、遠端資料、AI-enabled SaMD、model update、remote support 都進來了。當醫材變成 interconnected computing system，風險也跟著變。弱點可能來自第三方套件、雲端設定、更新機制、帳號權限、遠端維護、API、container image 或資料交換介面。 FDA 與 TFDA 開始重視 cybersecurity，根本原因是醫療器材的產品型態變了。它們承載臨床資料，支援臨床決策，也需要在上市後持續維護。這讓審查問題從「上市前有沒有測過」延伸成「整個生命週期能不能治理」。產品上市後，新漏洞會出現，第三方套件會更新，醫院部署環境會改變，雲端與遠端維護路徑也會變。製造商需要有能力監控、評估、修補、通知、重測與保存紀錄。醫院端則需要看到這些能力不是口頭承諾，而是流程與證據。,slide 16; vendor access; slide 17; supply chain clinical impact; slide 18; FDA logic; slide 18; lifecycle explanation
02,Stryker supply chain / Medibank credentials,cde_full_05_stryker_supply_chain_medibank_credentials,Stryker 這類醫療設備製造商遭遇網路攻擊的案例，提醒我們 medical supply chain 本身也有資安暴露。製造商、雲端服務、第三方軟體、維運商、醫院部署環境，最後都會進到同一條 evidence chain。醫療器材業者常以為資安主要發生在醫院端。實際上，產品開發、供應商管理、軟體更新、遠端維護、交付部署、上市後弱點處理，每一段都可能把風險帶進臨床使用。臨床端因此會要求廠商提供可追溯的設計、測試、修補與維護證據。 這裡就接到 SBOM。SBOM 不只是把套件列出來。它是一張 responsibility map。真正要問的問題是：產品用了哪些 direct dependencies？哪些 transitive dependencies？container base image 是什麼版本？vendor binary 來源是否清楚？某個 CVE 出現時，誰負責判斷是否受影響？誰決定修補、替代控制、時程與重測？如果第三方元件出現高風險漏洞，可是產品團隊、廠商、醫院與維運單位都不知道誰要處理，這個 component 就是 unowned risk。SBOM 的價值不是表格本身，而是事件發生時能不能快速轉成行動。 Medibank breach 這類由 credential 問題開始、最後造成大量敏感健康資料外洩的事件，對醫療與健康資料場域特別有警示性。在醫療環境裡，credential 不是單純登入資訊。它可能決定誰能看到病歷、誰能進入管理介面、誰能連到影像系統、誰能操作雲端平台、誰能改設定。弱密碼、共享帳號、沒有 MFA、過大的 service account 權限，都可能讓小問題快速擴大。臨床端因此會把 identity、access control、logging 與 incident response 放在一起看，而不是只問密碼複雜度。,slide 19; supply-chain exposure; slide 20; SBOM; slide 21; credentials
02,Evidence chain / Foxconn supplier risk,cde_full_06_evidence_chain_foxconn_supplier_risk,Trust 不能停留在口頭保證。投影片把 evidence 分成四類：design evidence、testing evidence、deployment evidence、patch and retest evidence。Design evidence 說明 threat model、architecture review 與 security requirements。Testing evidence 說明 penetration test、fuzz testing、vulnerability scan 或其他安全測試結果。Deployment evidence 說明實際設定、access control、network segmentation 與 remote access boundary。Patch and retest evidence 則說明修補後如何確認問題真的被控制。信任不是一句「我們很安全」。信任是可被稽核的證據鏈。 接下來進入 attack surface。Ardent Health Services 的 ransomware 事件讓我們看到，當醫院網路被迫離線、非緊急手術暫停，恢復過程就會變成分階段的臨床營運問題。這類案例的重要性，在於它把「攻擊面」從技術資產清單拉回醫療服務。攻擊者碰到的可能是網路、帳號、伺服器或 endpoint；醫院感受到的是排程延後、資料不可用、替代流程壓力與恢復驗證。攻擊面不是單一 device，而是人員、資料、系統、廠商、更新與工作流程共同形成的路徑。 Vendor maintenance access 是很典型的 attack path。投影片畫出 vendor VPN、privileged account、device subnet 這條路徑。廠商維護本身是正常需求，風險來自治理不足。共享帳號讓責任無法追溯。高權限帳號讓單一 credential 變成大範圍入口。Vendor laptop 如果在醫院政策外，可能把外部風險帶進院內。VPN 如果沒有最小權限、時間限制、來源限制與 log，受信任的維護路徑就會變成攻擊路徑。臨床端對這類路徑的要求通常很明確：限定範圍、強制驗證、全程紀錄、定期審查、事件後可追溯。 Foxconn 與其他供應鏈攻擊案例，會讓電子產業與醫療器材業者特別有感。醫療系統的資安風險常常不是孤立在醫院裡，而是從供應商、製造商、維運環境、更新通道與資料交換平台一路帶進來。這裡要注意一個原則：供應鏈風險最後會落到責任分工。哪一段是製造商負責？哪一段是醫院負責？哪一段是第三方維運或雲端服務負責？事件通報、版本確認、修補時程、替代控制與重測證據，都需要在事件前就定義清楚。,slide 22; evidence; slide 23; attack surface intro; slide 24; vendor path; slide 25; supply chain
03,Imaging systems / Semiconductor campaign,cde_full_07_imaging_systems_semiconductor_campaign,影像系統是高價值目標。Radiology modality、DICOM router、PACS、viewer、報告系統與 EMR，形成一條高度依賴的臨床流程。影像資料量大、敏感性高，availability 與 integrity 都很關鍵。如果 PACS 不可用，放射科、急診、手術排程、門診追蹤都可能被影響。如果影像或報告資料被錯誤修改，臨床判讀會失去信任。如果某個 viewer 或影像整合介面暴露過大，攻擊者可能利用信任關係進入更核心的系統。因此，影像資安不能只看一台伺服器。它要看資料流、身份、網路位置、整合介面、備援能力與恢復驗證。 Synnovis 與 NHS London 的事件，說明第三方臨床服務一旦中斷，病理、血液檢驗、輸血服務、門診與手術都會受到牽動。這個案例也提醒我們：臨床影響常常來自整條服務鏈，不只來自單一醫院設備。當 vendor 或 clinical service provider 出現 ransomware，醫院可能需要重新安排檢驗、延後手術、處理積壓案件，並確認恢復後的資料完整性。這類事件會在後半段再次出現，因為它同時牽涉 third-party integration trust boundary、recovery validation 與 clinical continuity evidence。 接著釐清測試名詞。不同測試方法，證明的事情不同。Vulnerability scan 通常找已知漏洞、錯誤設定與基本暴露。它速度快、範圍大，適合作為初步盤點；可是它不能充分證明 exploitability，也不能說明臨床影響。Black-box testing 從外部可觀察行為開始，會看到沒有內部資訊時攻擊者能碰到什麼。Penetration testing 更進一步，嘗試把 entry point、弱點、權限與影響串成實際 attack chain。這些方法都重要。臨床端要看的不是某個工具跑過，而是測試是否能回答風險問題：哪個系統受影響？攻擊路徑是否可信？影響是否和臨床流程有關？修補後如何重測？ 台灣半導體與關鍵供應鏈遭遇 email-based intrusion 或 espionage campaign 的案例，也可以放回同一個框架來看。很多大型事件的起點很普通：一封郵件、一組 credential、一個暴露介面、一個沒有被追蹤的第三方元件。供應鏈越重要，攻擊者越可能從邊界比較弱的地方開始。醫療器材與電子產業常有長供應鏈、跨國開發、委外維運、共同測試環境與多地部署。這些條件都會讓帳號、文件、測試系統、更新檔與維護通道成為 attack surface。防禦的第一步，是把這些路徑畫出來。,slide 26; imaging; slide 27; Synnovis first pass; slide 28; testing vocabulary; slide 29; supplier/critical-sector campaign
03,Finding anatomy / Outside-in not enough,cde_full_08_finding_anatomy_outside_in_not_enough,這也讓 security finding 的品質變得非常重要。好的 finding 不能只寫漏洞名稱，也不能只貼掃描工具截圖。它要能推動修補。一份有用的 finding，至少要說清楚 affected asset、evidence、path、impact、owner、fix、retest，以及 residual risk。Asset 指出是哪一台設備、哪一個 application、哪一個 container 或哪個 interface。Evidence 提供可驗證證據。Path 說明風險如何被觸發，但不需要變成 exploit cookbook。Impact 要翻譯成臨床、營運與 patient safety 語言。Owner 要清楚，可能是製造商、醫院 IT、第三方廠商或臨床系統負責人。Fix 要可執行，retest 要證明修補有效，residual risk 要記錄修完後還剩下什麼。 Signature Healthcare 的案例提到，醫院在 EHR 系統無法使用時，必須進入 downtime procedures 與紙本流程。這讓我們看到，資安事件最後會落到臨床營運的替代流程與恢復能力。Downtime procedure 不是平常放在文件櫃裡的計畫。真正事件發生時，臨床人員需要知道如何掛號、如何查病歷、如何記錄醫囑、如何安排檢查、如何同步資料、如何恢復系統後避免重複或遺漏。資安測試如果只停在技術漏洞，沒有連到 downtime workflow，就很難支援醫院端的風險決策。 這裡也引出下一個問題：outside-in testing 到底能證明什麼？Penetration testing 可以從攻擊者視角驗證 exploitability。它可以告訴我們攻擊者是否能從外部碰到某個入口、利用某個弱點、取得某種權限，或造成某種影響。可是 complex medical device 與 healthcare information system 需要更深一層的說明。外部測試看到的是現象。系統內部還要回答根因：哪個設計決策造成權限邊界不清楚？哪段程式少了 authorization check？哪個 deployment 設定開了不該開的服務？哪個 dependency 把風險帶進來？哪個 service account 權限太大？這就是 white-box review 與 system review 要接手的地方。,slide 30; finding anatomy; slide 31; downtime; slide 32; outside-in limit
04,Lurie children / Systex handoff,cde_full_09_lurie_children_systex_handoff,Lurie Children’s Hospital 的案例中，系統長時間離線，電子病歷存取受到限制。這對兒童醫院這類高度依賴臨床資訊系統的場域來說，影響非常明顯。兒科、急診、住院、檢查與用藥流程，都需要可靠的資訊系統支援。當系統離線，臨床團隊不只要處理病人，也要處理資訊不足、流程切換與資料回填。這類案例提醒我們：資安保護的不是單一設備，而是 connected care workflow。測試與審查要能說明，系統在遭遇異常或事件時，有沒有足夠的降級、恢復與驗證能力。 接著把問題從「能不能被攻擊」推到「安全控制能不能在部署後存活」。一個設計文件裡安全的系統，到了醫院現場可能因為設定、網路位置、帳號制度、相容性或維護流程而失效。Secure defaults 要關閉不必要服務與 unused ports，強制 strong authentication。Configuration hardening 要移除 default credentials，套用 least privilege，並記錄 approved settings。Network placement 要說明 subnet、firewall rules、allowed paths 與 remote-access boundaries。Credential and key handling 要保護 service accounts、API keys、certificates 與 update-signing keys。Installation evidence 要記錄版本、啟用服務、access controls、network rules 與 deviations。Deployment 是 engineering controls 接上 clinical reality 的地方。 Systex 的 ransomware note 與後續應變案例，提醒我們即使是資訊服務供應商，也會成為醫療與關鍵服務部署治理的一部分。供應商事件不一定直接等於臨床事件，可是它會暴露一個現實：系統是否可維護、可隔離、可調查、可恢復，不能等到事件發生後才第一次整理。到這裡，我們已經把醫院端的 attack surface、測試方法、finding 結構、臨床影響與 threat modeling 串起來。下一步要看的，是系統內部如何支撐這些判斷。外部測試回答攻擊者可以從外面觀察到什麼、觸發什麼、造成什麼影響。White-box Testing 與 system review 要回答風險從哪裡來，控制措施有沒有真正實作，部署後是否仍然有效，修補後如何重測，剩餘風險如何被記錄。,slide 33; Lurie case; slide 34; deployment evidence; slide 35-36; handoff
05,White-box positioning and outside-in limit,cde_full_10_whitebox_positioning_outsidein,接下來我們進入今天後半段的重點，也就是 White-box Testing。 前面我們談了很多醫療資安的臨床衝擊，包括醫院系統中斷、影像流程停擺、廠商維護通道、修補困難，以及部署環境的治理問題。這些問題最後會回到一個核心：我們不能只知道外部看得到什麼弱點，我們還要知道這個弱點為什麼存在，以及它是否真的被控制。 所以這一段我想把白箱測試重新定位。白箱測試不是只有 source code review，也不是工程師自己看程式碼而已。對醫療裝置與醫療資訊系統來說，白箱測試更像是一條 evidence chain：從 threat model 開始，進入 code review，再產生 test evidence，接著完成 fix and retest，最後累積成 lifecycle trust。 也就是說，白箱測試的價值不只是找到漏洞，而是把漏洞背後的設計決策、實作細節、設定條件、部署環境、修補紀錄、重測結果全部串起來。 這也呼應 FDA 或醫療法規審查會關心的事情。審查者不只是問「你有沒有做測試」，而是會問：你的控制措施從哪裡來？跟哪個風險有關？程式裡是否真的有實作？部署後是否仍然有效？修補後是否有重測？剩餘風險是否有被接受？ 所以這一頁可以用一句話帶過：White-box testing explains why a risk exists — and how to prove it is controlled. 白箱測試的目標不是製造更多文件，而是讓資安決策變成可以被驗證、可以被稽核、可以被追蹤的生命週期證據。 這一頁說明為什麼只做 outside-in testing 不夠。 外部測試，例如 black-box testing 或 penetration testing，通常回答的是：「攻擊者從外面可以看到什麼？可以連到什麼？可以觸發什麼？可以利用什麼？」這些測試非常重要，因為它們能證明 exploitability，也就是攻擊者是否真的可以走出一條攻擊路徑。 但是外部測試有一個限制：它通常只能看到現象，不一定能解釋根因。 例如，滲透測試發現某個 API 可以繞過權限檢查。這個結果很重要，但下一步我們還要問：為什麼可以繞過？是設計上沒有定義角色邊界？是程式裡缺少 authorization check？是 token 驗證邏輯錯誤？是 deployment 時把 debug endpoint 打開？還是某個 service account 權限過大？ 這就是白箱審查要補上的地方。,"Slides 36-37; Jingzhong clean text, white-box value and outside-in limit."
